epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.194,1.55971,2.55563,1.03776,0.98419,0.03203,0.09754,0.06152,1.50386,3.25834,0.92727,0.00034296,0.00034296,0.00034296
2,330.772,1.53153,1.40846,1.03195,0.98667,0.04716,0.26124,0.15617,1.43231,2.67546,0.95524,0.000686346,0.000686346,0.000686346
3,491.715,1.48642,1.27848,1.04238,0.91895,0.2029,0.35815,0.20625,1.41949,2.07024,0.98192,0.00101558,0.00101558,0.00101558
4,656.566,1.47089,1.19896,1.03561,0.77533,0.1887,0.29986,0.17608,1.48936,1.94033,1.007,0.00133068,0.00133068,0.00133068
5,820.19,1.47822,1.16082,1.03557,0.71854,0.196,0.28456,0.16843,1.50695,1.91691,1.01984,0.00131582,0.00131582,0.00131582
6,1001.48,1.42751,1.10288,1.01833,0.59896,0.28499,0.30553,0.1701,1.44648,1.61363,0.99976,0.00128753,0.00128753,0.00128753
7,1169.51,1.39896,1.08574,1.0229,0.65191,0.32775,0.3664,0.20959,1.37732,1.16662,0.99452,0.00125923,0.00125923,0.00125923
8,1339.78,1.4281,1.06403,1.02308,0.65299,0.35824,0.41836,0.23746,1.36914,1.1129,0.99628,0.00123094,0.00123094,0.00123094
9,1508.76,1.39562,1.0259,1.01863,0.69827,0.36223,0.42252,0.23758,1.36847,1.05309,0.96986,0.00120265,0.00120265,0.00120265
10,1676.58,1.39305,1.01602,1.0124,0.61658,0.37871,0.42671,0.24557,1.34949,1.06515,0.96861,0.00117435,0.00117435,0.00117435
11,1859.28,1.34833,0.98268,0.99765,0.65816,0.38791,0.43415,0.24447,1.33832,1.04264,0.97885,0.00114606,0.00114606,0.00114606
12,2050.09,1.34587,0.97379,0.99475,0.69657,0.39146,0.45167,0.26053,1.27787,0.9623,0.95495,0.00111776,0.00111776,0.00111776
13,2209.88,1.3175,0.95694,0.99313,0.68551,0.39561,0.44767,0.26111,1.28381,0.96829,0.95603,0.00108947,0.00108947,0.00108947
14,2369.79,1.33253,0.93746,0.99462,0.6573,0.40417,0.45046,0.25817,1.29706,0.94454,0.97263,0.00106118,0.00106118,0.00106118
15,2536.1,1.32383,0.93529,0.98576,0.70479,0.39333,0.45381,0.26685,1.27984,0.94004,0.96054,0.00103288,0.00103288,0.00103288
16,2706.67,1.31712,0.90491,0.97961,0.68096,0.40479,0.45687,0.26461,1.3047,0.94119,0.96299,0.00100459,0.00100459,0.00100459
17,2875.4,1.34474,0.90709,0.98643,0.63953,0.39966,0.43639,0.26119,1.27951,0.94373,0.9645,0.000976293,0.000976293,0.000976293
18,3044.75,1.27085,0.87505,0.97768,0.67677,0.40526,0.4499,0.26271,1.27652,0.93955,0.95919,0.000947999,0.000947999,0.000947999
19,3220.04,1.27253,0.87887,0.96159,0.72093,0.41318,0.46879,0.27307,1.22621,0.90144,0.95172,0.000919704,0.000919704,0.000919704
20,3387.6,1.28335,0.87359,0.97416,0.67584,0.41819,0.47207,0.27827,1.24716,0.89492,0.94327,0.00089141,0.00089141,0.00089141
21,3551.09,1.26863,0.85476,0.96508,0.69958,0.42331,0.4738,0.27588,1.28029,0.87165,0.95894,0.000863116,0.000863116,0.000863116
22,3712.3,1.25266,0.84143,0.96378,0.63389,0.42695,0.47059,0.26602,1.25864,0.90045,0.95378,0.000834822,0.000834822,0.000834822
23,3881.88,1.23952,0.8244,0.96225,0.72144,0.41307,0.46798,0.27713,1.23426,0.86608,0.95265,0.000806528,0.000806528,0.000806528
24,4052.64,1.22567,0.81321,0.9569,0.7091,0.42437,0.48403,0.28436,1.21812,0.83529,0.94832,0.000778233,0.000778233,0.000778233
25,4218.79,1.21906,0.81888,0.95336,0.69247,0.41359,0.4673,0.27745,1.24744,0.84943,0.95859,0.000749939,0.000749939,0.000749939
26,4382.99,1.20361,0.79523,0.9514,0.68165,0.44131,0.48052,0.28454,1.21188,0.84568,0.9437,0.000721645,0.000721645,0.000721645
27,4557.59,1.21325,0.79188,0.953,0.67568,0.43409,0.47953,0.27676,1.25249,0.83189,0.95526,0.000693351,0.000693351,0.000693351
28,4728.07,1.1915,0.80142,0.95215,0.71147,0.42473,0.47968,0.28581,1.19182,0.80366,0.93565,0.000665057,0.000665057,0.000665057
29,4891.1,1.19503,0.78217,0.94802,0.73042,0.43316,0.48864,0.28818,1.20559,0.81497,0.94184,0.000636762,0.000636762,0.000636762
30,5054.55,1.19327,0.76671,0.94135,0.72692,0.43555,0.49292,0.29578,1.20501,0.80373,0.94073,0.000608468,0.000608468,0.000608468
31,5216.68,1.19107,0.78919,0.94721,0.7194,0.42217,0.48955,0.29168,1.21579,0.82223,0.94764,0.000580174,0.000580174,0.000580174
32,5385.91,1.17683,0.76453,0.9439,0.67148,0.43958,0.48365,0.28818,1.20855,0.83182,0.94674,0.00055188,0.00055188,0.00055188
33,5569.26,1.18192,0.75641,0.93667,0.68063,0.43483,0.48332,0.2913,1.21873,0.80814,0.94494,0.000523586,0.000523586,0.000523586
34,5746.2,1.17038,0.74139,0.9394,0.66416,0.43544,0.4908,0.29827,1.18475,0.77852,0.93726,0.000495291,0.000495291,0.000495291
35,5932.32,1.18694,0.75028,0.94017,0.71007,0.45141,0.50906,0.30003,1.1927,0.76859,0.93593,0.000466997,0.000466997,0.000466997
36,6113.36,1.14966,0.73579,0.93346,0.72942,0.43128,0.4964,0.2953,1.21198,0.77934,0.9457,0.000438703,0.000438703,0.000438703
37,6293.17,1.14039,0.72927,0.92828,0.72569,0.43681,0.4957,0.29529,1.21641,0.77948,0.94576,0.000410409,0.000410409,0.000410409
38,6470.76,1.14758,0.72844,0.92656,0.71393,0.43498,0.49584,0.29906,1.18518,0.77725,0.93868,0.000382115,0.000382115,0.000382115
39,6646.22,1.11963,0.71649,0.92601,0.72484,0.44225,0.49873,0.2991,1.17237,0.76092,0.93275,0.00035382,0.00035382,0.00035382
40,6830.19,1.14488,0.72103,0.93071,0.66993,0.45632,0.50402,0.30289,1.18067,0.75642,0.94071,0.000325526,0.000325526,0.000325526
41,7005.3,1.15202,0.78804,0.92847,0.72437,0.42549,0.49377,0.292,1.19621,0.85537,0.93874,0.000297232,0.000297232,0.000297232
42,7178.12,1.14298,0.74727,0.92395,0.70622,0.43971,0.49498,0.29334,1.19635,0.78765,0.9397,0.000268938,0.000268938,0.000268938
43,7348.26,1.12835,0.72711,0.92146,0.69311,0.45157,0.49938,0.30237,1.17585,0.76975,0.935,0.000240644,0.000240644,0.000240644
44,7525.65,1.10439,0.71107,0.91853,0.68201,0.44698,0.49546,0.29657,1.16968,0.76582,0.93653,0.000212349,0.000212349,0.000212349
45,7700.76,1.0983,0.69647,0.92095,0.67627,0.44487,0.49852,0.30148,1.17,0.76467,0.92928,0.000184055,0.000184055,0.000184055
46,7870.38,1.09139,0.69376,0.9119,0.70728,0.44531,0.50297,0.30343,1.17077,0.75351,0.92995,0.000155761,0.000155761,0.000155761
47,8048.03,1.07796,0.68512,0.90695,0.71176,0.44942,0.50474,0.30142,1.17123,0.75444,0.9313,0.000127467,0.000127467,0.000127467
